2525,,,,,,,,,
Clock Time,Process ID,Total Time,Ready Time,CPU Time,IO Time,Wait Time,CPU Util,CPU/IO,Run/Idle
,0,293,0,133,159,0,45.39,0.84,0
,1,320,0,147,172,0,45.94,0.85,0
,2,298,0,136,161,0,45.64,0.84,0
,3,184,0,88,95,0,47.83,0.93,0
,4,245,0,115,129,0,46.94,0.89,0
,5,272,0,126,145,0,46.32,0.87,0
,6,180,0,81,98,0,45.0,0.83,0
,7,196,0,87,108,0,44.39,0.81,0
,8,210,0,98,111,0,46.67,0.88,0
,9,246,0,117,128,0,47.56,0.91,0
,10,219,0,108,110,0,49.32,0.98,0
,11,184,0,86,97,0,46.74,0.89,0
,12,266,0,123,142,0,46.24,0.87,0
,13,323,0,146,176,0,45.2,0.83,0
,14,364,0,171,192,0,46.98,0.89,0
,15,219,0,108,110,0,49.32,0.98,0
,16,181,0,82,98,0,45.3,0.84,0
,17,353,0,159,193,0,45.04,0.82,0
,18,183,0,83,99,0,45.36,0.84,0
,19,229,0,106,122,0,46.29,0.87,0
